DTS,Downstream 1,Downstream 2,Downstream 3,Downstream 4,Downstream 5,Downstream 6,Downstream 7,Downstream 8
2013-08-13 18:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 19:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 19:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 20:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 20:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 21:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 21:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 22:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 22:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 23:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-13 23:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 00:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 00:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 01:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 01:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 02:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 02:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 03:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 03:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 04:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 04:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 05:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 05:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 06:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 06:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 07:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 07:54:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
2013-08-14 08:24:00,579.00,561.00,567.00,573.00,555.00,537.00,543.00,549.00
