DTS,Downstream 1,Downstream 2,Downstream 3,Downstream 4,Downstream 5,Downstream 6,Downstream 7,Downstream 8
2013-08-13 18:54:00,-1.76,0.28,-0.04,-1.63,-0.08,0.93,0.58,0.10
2013-08-13 19:24:00,-1.68,0.36,-0.01,-1.58,-0.04,1.06,0.71,0.26
2013-08-13 19:54:00,-1.62,0.33,-0.03,-1.71,-0.05,1.10,0.66,0.27
2013-08-13 20:24:00,-1.62,0.26,-0.13,-1.86,-0.02,0.99,0.59,0.21
2013-08-13 20:54:00,-1.55,0.17,-0.21,-1.96,-0.05,1.03,0.67,0.18
2013-08-13 21:24:00,-1.52,0.20,-0.18,-1.97,-0.05,0.99,0.63,0.16
2013-08-13 21:54:00,-1.55,0.14,-0.29,-2.02,-0.13,0.93,0.53,0.18
2013-08-13 22:24:00,-1.56,0.11,-0.29,-2.04,-0.16,0.95,0.55,0.15
2013-08-13 22:54:00,-1.51,0.15,-0.28,-1.97,-0.13,0.95,0.59,0.18
2013-08-13 23:24:00,-1.51,0.14,-0.29,-1.93,-0.15,0.88,0.56,0.13
2013-08-13 23:54:00,-1.56,0.11,-0.31,-1.91,-0.15,0.87,0.53,0.15
2013-08-14 00:24:00,-1.48,0.15,-0.28,-1.90,-0.05,0.95,0.63,0.16
2013-08-14 00:54:00,-1.46,0.15,-0.24,-1.80,-0.05,0.95,0.58,0.19
2013-08-14 01:24:00,-1.45,0.15,-0.29,-1.83,-0.07,0.96,0.55,0.21
2013-08-14 01:54:00,-1.38,0.18,-0.21,-1.75,-0.07,0.93,0.58,0.22
2013-08-14 02:24:00,-1.41,0.15,-0.26,-1.69,-0.07,0.95,0.59,0.22
2013-08-14 02:54:00,-1.35,0.12,-0.23,-1.75,-0.11,0.93,0.63,0.18
2013-08-14 03:24:00,-1.34,0.17,-0.24,-1.66,-0.05,0.98,0.61,0.26
2013-08-14 03:54:00,-1.24,0.11,-0.24,-1.72,-0.07,1.03,0.72,0.21
2013-08-14 04:24:00,-1.31,0.15,-0.26,-1.66,-0.08,0.93,0.61,0.18
2013-08-14 04:54:00,-1.29,0.20,-0.23,-1.61,-0.03,0.93,0.61,0.21
2013-08-14 05:24:00,-1.23,0.25,-0.20,-1.55,-0.00,1.02,0.67,0.29
2013-08-14 05:54:00,-1.20,0.31,-0.15,-1.47,0.03,1.15,0.72,0.33
2013-08-14 06:24:00,-1.15,0.23,-0.20,-1.54,0.01,1.07,0.67,0.29
2013-08-14 06:54:00,-1.07,0.32,-0.10,-1.44,0.07,1.10,0.76,0.30
2013-08-14 07:24:00,-1.10,0.36,-0.12,-1.41,0.09,1.10,0.75,0.32
2013-08-14 07:54:00,-1.24,0.22,-0.13,-1.60,-0.00,1.04,0.66,0.27
2013-08-14 08:24:00,-1.37,0.26,-0.13,-1.61,-0.05,1.05,0.72,0.29
2013-08-14 08:54:00,-1.54,0.19,-0.28,-1.77,-0.13,0.93,0.55,0.18
2013-08-14 09:24:00,-1.52,0.23,-0.12,-1.77,-0.04,1.02,0.58,0.21
2013-08-14 09:54:00,-1.56,0.34,-0.09,-1.82,0.06,1.09,0.72,0.30
2013-08-14 10:24:00,-1.48,0.43,0.07,-1.75,0.15,1.21,0.77,0.41
2013-08-14 10:54:00,-1.54,0.45,0.08,-1.69,0.12,1.16,0.74,0.38
2013-08-14 11:24:00,-1.63,0.45,0.05,-1.64,0.14,1.13,0.77,0.37
2013-08-14 11:54:00,-1.58,0.47,0.08,-1.61,0.17,1.17,0.77,0.40
2013-08-14 12:24:00,-1.60,0.51,0.12,-1.57,0.18,1.12,0.78,0.30
2013-08-14 12:54:00,-1.66,0.39,0.05,-1.61,0.09,1.13,0.69,0.30
2013-08-14 13:24:00,-1.68,0.45,0.13,-1.52,0.17,1.13,0.72,0.30
2013-08-14 13:54:00,-1.59,0.50,0.18,-1.38,0.18,1.12,0.75,0.37
